Age_band_of_driver,sexe,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Day_of_week,hour
51,M,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,Tuesday,17
18-30,M,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,Tuesday,17
31-50,M,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,Wednesday,18
Unknown,M,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,1,Tuesday,18
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,1,Tuesday,18
Unknown,M,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,1,Tuesday,18
Unknown,M,Elementary school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,Monday,8
Unknown,F,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Monday,8
Unknown,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Monday,19
31-50,M,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,Monday,19
Unknown,F,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Rollover,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Monday,21
Under 18,M,Unknown,Owner,Below 1yr,other,Y Shape,Gravel roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Monday,21
Unknown,M,Writing & reading,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,9
18-30,M,Above high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Tuesday,9
31-50,M,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,16
31-50,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,Wednesday,16
Unknown,F,Junior high school,Employee,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,Wednesday,16
51,M,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,Friday,10
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,Friday,10
18-30,M,Junior high school,Employee,No Licence,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Friday,10
31-50,M,Junior high school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Wednesday,11
18-30,M,Illiterate,Owner,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Wednesday,11
51,M,Junior high school,Owner,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,Wednesday,11
Unknown,M,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Wednesday,11
Unknown,M,Junior high school,Owner,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,15
18-30,M,Unknown,Owner,5-10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,15
18-30,M,Unknown,Owner,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Driving carelessly,2,Tuesday,15
31-50,M,Junior high school,Owner,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2,Sunday,12
31-50,M,Elementary school,Owner,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Sunday,12
18-30,M,Writing & reading,Owner,5-10yr,One way,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Monday,10
31-50,M,Unknown,Owner,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Monday,10
31-50,M,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Monday,10
31-50,M,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Monday,10
31-50,M,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,0,Monday,20
Unknown,M,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Friday,18
31-50,M,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Friday,18
Unknown,M,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Thursday,19
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,2,Thursday,19
18-30,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Unknown,Not a Pedestrian,No distancing,1,Wednesday,7
Unknown,M,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward,1,Wednesday,7
Unknown,F,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,Thursday,15
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Thursday,15
51,M,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Friday,11
18-30,M,Elementary school,Owner,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Not a Pedestrian,No priority to vehicle,2,Thursday,19
31-50,M,Junior high school,Owner,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2,Wednesday,19
Unknown,M,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,8
Unknown,F,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,8
51,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,Wednesday,12
18-30,M,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,16
51,M,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,2,Tuesday,9
31-50,X,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,9
31-50,M,High school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,2,Sunday,13
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,2,Sunday,13
Unknown,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Getting off the vehicle improperly,2,Sunday,13
Unknown,F,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,Saturday,0
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Saturday,0
31-50,M,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,17
18-30,M,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,No priority to vehicle,2,Tuesday,17
Unknown,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,2,Friday,13
31-50,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2,Friday,13
51,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,19
18-30,M,Elementary school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,19
Unknown,F,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,19
31-50,M,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Tuesday,19
31-50,M,Unknown,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,Sunday,14
Unknown,M,Writing & reading,Employee,Below 1yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,Sunday,14
Unknown,M,Junior high school,Employee,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overloading,2,Friday,21
31-50,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,Friday,21
31-50,M,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,Friday,21
Unknown,F,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,Saturday,20
Unknown,M,Elementary school,Employee,Below 1yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Overturning,2,Thursday,19
18-30,M,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,Thursday,19
31-50,M,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,Sunday,19
Under 18,M,Above high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,No distancing,1,Sunday,19
18-30,M,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,2,Friday,14
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,Friday,14
51,M,High school,Employee,1-2yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Wednesday,17
Under 18,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,Wednesday,17
Under 18,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,Wednesday,17
Unknown,F,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,21
51,M,Elementary school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Friday,21
Under 18,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Other,Not a Pedestrian,Driving carelessly,2,Sunday,16
Under 18,M,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Sunday,16
Unknown,M,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Sunday,16
18-30,M,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Thursday,12
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,2,Friday,8
51,M,Junior high school,Employee,Below 1yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,No distancing,2,Friday,8
Under 18,M,High school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Saturday,8
31-50,M,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No priority to pedestrian,2,Saturday,8
31-50,M,Elementary school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,Saturday,8
Under 18,M,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,Saturday,19
31-50,M,Elementary school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Saturday,19
Unknown,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,Monday,16
Unknown,F,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,Saturday,21
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Saturday,21
31-50,M,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Monday,6
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Reversing,Not a Pedestrian,Moving Backward,2,Tuesday,16
31-50,M,Elementary school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Other,Not a Pedestrian,Changing lane to the right,2,Tuesday,16
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,16
31-50,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Unknown or other,Changing lane to the right,2,Tuesday,16
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Windy,Collision with animals,Moving Backward,Not a Pedestrian,No distancing,2,Tuesday,18
Unknown,F,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Reversing,Not a Pedestrian,Moving Backward,2,Sunday,22
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Driving carelessly,2,Sunday,22
18-30,M,Elementary school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Other,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,Monday,21
Unknown,F,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Other,Collision with animals,Moving Backward,Not a Pedestrian,No priority to vehicle,2,Monday,21
Unknown,M,Above high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Other,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,2,Monday,21
Unknown,M,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Other,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,2,Monday,21
18-30,M,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Driving under the influence of drugs,1,Sunday,14
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,1,Sunday,16
18-30,M,Junior high school,Employee,2-5yr,One way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,1,Thursday,22
18-30,M,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Other,Going straight,Not a Pedestrian,Changing lane to the left,1,Thursday,22
Under 18,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Rollover,Unknown,Not a Pedestrian,Driving carelessly,1,Thursday,22
51,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,1,Thursday,22
31-50,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Rollover,Reversing,Not a Pedestrian,No priority to pedestrian,2,Tuesday,15
18-30,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,15
18-30,M,Above high school,Owner,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Collision with animals,Going straight,Not a Pedestrian,Drunk driving,2,Thursday,15
31-50,M,Above high school,Employee,No Licence,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Thursday,15
31-50,M,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Fall from vehicles,Going straight,Not a Pedestrian,Changing lane to the left,2,Thursday,15
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving to the left,2,Saturday,11
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Unknown or other,Changing lane to the left,2,Saturday,11
Unknown,M,Junior high school,Employee,Above 10yr,other,O Shape,Asphalt roads,Daylight,Unknown,Rollover,Other,Not a Pedestrian,Driving under the influence of drugs,2,Saturday,12
51,M,Junior high school,Owner,5-10yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Unknown,Collision with animals,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,Saturday,12
18-30,M,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Other,Not a Pedestrian,Changing lane to the left,1,Monday,13
18-30,M,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,Moving Backward,1,Monday,13
18-30,M,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No distancing,2,Wednesday,15
31-50,X,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,15
18-30,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with animals,Other,Not a Pedestrian,No priority to vehicle,2,Tuesday,15
18-30,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,Tuesday,15
Unknown,M,Junior high school,Employee,Above 10yr,other,Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Overtaking,2,Monday,8
18-30,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Monday,8
Unknown,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,19
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,Friday,19
51,M,Above high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Overloading,2,Thursday,7
18-30,M,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Other,1,Friday,15
51,M,Unknown,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2,Wednesday,17
18-30,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Wednesday,17
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Unknown,Daylight,Other,Rollover,Going straight,Not a Pedestrian,Moving Backward,1,Friday,14
18-30,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,1,Friday,14
18-30,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Sunday,20
51,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Thursday,7
